GKZ,Name,FPOe 2009,FPOe 2015,FPOe 2015 Votes,Foreigners
40435,St. Georgen am Fillmannsbach [Sankt Georgen am Fillmannsbach],43.3691756272,56.6308243728,158,4.0
40424,Moosbach,30.6818181818,50.6578947368,308,7.0
41420,St. Roman [Sankt Roman],15.7248157248,49.7692307692,647,6.0
40916,St. Pankraz [Sankt Pankraz],25.702811245,47.0833333333,113,6.0
41220,Ort im Innkreis,28.90625,46.8434343434,371,10.0
41822,Steinhaus,39.2857142857,46.5578424414,656,6.0
40433,Polling im Innkreis,18.096723869,45.9885386819,321,8.0
40432,Pischelsdorf am Engelbach,23.4131113424,45.5522971652,466,9.0
40410,Gilgenberg am Weilhart,20.7397622193,44.8856799037,373,11.0
40403,Auerbach,24.2074927954,44.8275862069,156,10.0
41419,St. Marienkirchen bei Schärding [Sankt Marienkirchen bei Schärding],24.3336199484,44.6475195822,513,8.0
41414,Raab,25.7367387033,44.5981554677,677,7.0
40407,Feldkirchen bei Mattighofen,25.8361204013,43.8946528332,550,5.0
41207,Geinberg,22.4099099099,43.7430786268,395,9.0
41203,Aurolzmünster,24.8436611711,43.2590855803,738,10.0
40442,Schwand im Innkreis,16.5427509294,43.1818181818,247,6.0
41421,St. Willibald [Sankt Willibald],21.3054187192,43.1396786156,349,4.0
41409,Esternberg,20.2477113624,43.0873180873,829,15.0
41412,Mayrhof,19.9004975124,43.0769230769,84,3.0
41215,Mettmach,22.5241545894,43.061605476,692,3.0
41219,Obernberg am Inn,19.955654102,42.893081761,341,20.0
41406,Eggerding,18.2680901542,42.4971363116,371,4.0
40813,Kematen am Innbach,24.23500612,42.3076923077,374,7.0
40427,Neukirchen an der Enknach,23.5249621785,42.1908127208,597,7.0
40429,Palting,14.0926640927,42.1903052065,235,5.0
40444,Treubach,24.8520710059,42.1841541756,197,7.0
40401,Altheim,19.953749587,42.1352074967,1259,13.0
41224,Reichersberg,20.7974137931,42.1108742004,395,15.0
41408,Enzenkirchen,21.9797349961,42.0604182804,543,4.0
40823,Rottenbach,25.0338294993,41.6438356164,304,6.0
40446,Weng im Innkreis,22.6595744681,41.5271966527,397,6.0
41427,Vichtenstein,20.1438848921,41.2658227848,163,21.0
41424,Sigharting,18.5567010309,40.7986111111,235,6.0
41315,Klaffer am Hochficht,12.0559741658,40.5690200211,385,8.0
40413,Helpfau-Uttendorf,21.5289488477,40.5196241017,733,17.0
41402,Andorf,17.1072622303,40.3779069767,1389,8.0
41202,Antiesenhofen,12.5690607735,40.3458213256,280,14.0
41741,Straß im Attergau,22.247446084,40.2985074627,351,10.0
41205,Eitzing,19.1860465116,40.2697495183,209,5.0
41214,Mehrnbach,24.9672346003,40.1315789474,610,7.0
40415,Höhnhart,20.8017334778,39.8930481283,373,4.0
40829,Taufkirchen an der Trattnach,23.1209735147,39.8328690808,572,4.0
40406,Eggelsberg,17.1974522293,39.7988505747,554,11.0
41820,Stadl-Paura,22.1565731167,39.7129186603,1079,19.0
41403,Brunnenthal,20.9767814251,39.6341463415,520,14.0
41228,St. Martin im Innkreis [Sankt Martin im Innkreis],23.7403100775,39.4812680115,411,18.0
41411,Kopfing im Innkreis,18.8896899784,39.4481730052,529,6.0
41413,Münzkirchen,17.3475097929,39.3152954169,712,8.0
41211,Kirchheim im Innkreis,18.5770750988,39.1050583658,201,3.0
41223,Pramet,23.309352518,39,273,5.0
40434,Roßbach,21.0374639769,38.9984825493,257,4.0
40441,Schalchen,18.2205395173,38.9948813402,838,13.0
41426,Taufkirchen an der Pram,19.175911252,38.9003083248,757,8.0
41400,Schärding,18.8124142015,38.7564683487,14455,12.0
41227,St. Marienkirchen am Hausruck [Sankt Marienkirchen am Hausruck],21.9378427788,38.7152777778,223,3.0
40805,Gallspach,22.3831468071,38.7011265739,584,23.0
41729,Redleiten,17.0212765957,38.670694864,128,3.0
40405,Burgkirchen,19.9369085174,38.5841836735,605,9.0
41212,Lambrechten,21.6721672167,38.5201305767,354,3.0
40834,Wendling,23.0337078652,38.5171790235,213,3.0
41415,Rainbach im Innkreis,17.962962963,38.4905660377,408,6.0
41213,Lohnsburg am Kobernaußerwald,20.5479452055,38.3940620783,569,4.0
41817,Sattledt,20.9035738368,38.2503192848,599,14.0
41418,St. Florian am Inn [Sankt Florian am Inn],21.0235825389,38.0274779195,775,13.0
40408,Franking,21.8146718147,38.0149812734,203,14.0
41416,Riedau,18.1327160494,37.9909365559,503,10.0
41404,Diersbach,17.1506352087,37.9816513761,414,7.0
41417,St. Aegidi [Sankt Aegidi],20.7792207792,37.8027681661,437,5.0
41805,Eberstalzell,22.275862069,37.7932783767,596,6.0
41705,Aurach am Hongar,18.511627907,37.6936316695,438,4.0
41814,Offenhausen,20.7084468665,37.6770538244,399,8.0
40806,Gaspoltshofen,23.9130434783,37.5310687655,906,7.0
40826,St. Thomas [Sankt Thomas],21.6981132075,37.4345549738,143,3.0
41201,Andrichsfurt,22.6293103448,37.3949579832,178,2.0
41217,Mühlheim am Inn,20.0440528634,37.389380531,169,9.0
40914,Rosenau am Hengstpaß,12.015503876,37.339055794,174,10.0
40818,Neumarkt im Hausruckkreis,21.3407821229,37.3167981962,331,14.0
40422,Mauerkirchen,24.2769500438,37.2712146423,448,22.0
40416,Jeging,19.756097561,37.2365339578,159,10.0
40400,Braunau am Inn,18.3489174103,37.2213202046,21320,15.0
41204,Eberschwang,18.7472430525,37.1783496007,838,7.0
41002,Ansfelden,21.4182518661,37.1602333375,2994,26.0
40440,St. Veit im Innkreis [Sankt Veit im Innkreis],19.4174757282,37.1527777778,107,5.0
40508,Prambachkirchen,18.167539267,37.1413667188,712,6.0
41235,Weilbach,19.3023255814,37.1287128713,150,6.0
40445,Überackern,14.2857142857,37.0786516854,132,39.0
41713,Lenzing,19.5048511208,36.8741542625,1090,16.0
40419,Lochen am See,16.7892976589,36.8547418968,614,5.0
40404,Braunau am Inn,19.6502186134,36.8078175896,2938,24.0
41107,Klam,22.6973684211,36.790923825,227,4.0
40412,Handenberg,21.43727162,36.7321867322,299,7.0
41812,Marchtrenk,17.8340284769,36.6901505733,2656,19.0
40816,Natternbach,15.7216494845,36.6044551475,608,3.0
41019,Pucking,17.6470588235,36.6040628593,955,9.0
40912,Pettenbach,19.4314381271,36.4451313756,1179,8.0
41200,Ried im Innkreis,19.7047634357,36.3911562787,13464,10.0
40801,Aistersheim,22.5454545455,36.3799283154,203,8.0
41717,Niederthalheim,22.8848821082,36.3636363636,268,5.0
41734,St. Georgen im Attergau [Sankt Georgen im Attergau],19.4256756757,36.2959900785,878,19.0
40402,Aspach,15.8291457286,36.2732919255,584,6.0
41806,Edt bei Lambach,19.1672648959,36.2606232295,512,9.0
41801,Aichkirchen,20.3703703704,36.0824742268,140,4.0
41422,Schärding,20.9846368715,36.0638297872,1017,21.0
40822,Pram,20.2037351443,35.8686257563,415,4.0
41003,Asten,20.3375286041,35.8395989975,1287,18.0
41407,Engelhartszell,15.1651651652,35.8131487889,207,15.0
41232,Tumeltsham,20.3441295547,35.6719367589,361,7.0
40714,Pinsdorf,16.072234763,35.5910267472,825,12.0
41423,Schardenberg,15.9379407616,35.5198883461,509,23.0
40815,Michaelnbach,13.7278106509,35.4166666667,306,2.0
41221,Pattigham,20.5414012739,35.4026845638,211,3.0
41429,Wernstein am Inn,15.8357771261,35.3596757852,349,19.0
40918,Spital am Pyhrn,12.5698324022,35.277582572,502,7.0
40804,Eschenau im Hausruckkreis,16.621253406,35.2490421456,276,2.0
40421,Mattighofen,17.3566274212,35.0766810853,892,28.0
40831,Waizenkirchen,12.172829248,35.0550381033,828,7.0
40423,Mining,16.1629434954,35.0529100529,265,7.0
40437,St. Pantaleon [Sankt Pantaleon],15.8912386707,34.9825378347,601,15.0
40417,Kirchberg bei Mattighofen,20.5555555556,34.9462365591,260,6.0
41800,Wels-Land,18.631441152,34.9030344513,15298,12.0
40510,St. Marienkirchen an der Polsenz [Sankt Marienkirchen an der Polsenz],17.818642993,34.9005424955,579,5.0
40507,Hinzenbach,15.8899923606,34.880239521,466,8.0
41816,Pichl bei Wels,18.2877111241,34.8687734333,651,8.0
41123,Saxen,24.2589703588,34.7860538827,439,6.0
41230,Senftenbach,20.5769230769,34.7826086957,176,8.0
41341,Schwarzenberg am Böhmerwald,16.2528216704,34.7619047619,146,20.0
40827,Schlüßlberg,16.9185763042,34.7440944882,706,8.0
41732,Rüstorf,21.6429699842,34.7432024169,460,10.0
40812,Kallham,17.083091226,34.7230494342,583,4.0
41234,Waldzell,15.9830268741,34.7035040431,515,6.0
40828,Steegen,13.4020618557,34.5714285714,242,2.0
41726,Pöndorf,19.2886456908,34.559333796,498,6.0
40300,Wels [Wels (Stadt)],20.9987944325,34.5538378085,10192,28.0
40300,Wels [Wels (Stadt)],20.9987944325,34.5538378085,10192,28.0
40825,St. Georgen bei Grieskirchen [Sankt Georgen bei Grieskirchen],16.0273972603,34.4786729858,291,4.0
40436,St. Johann am Walde [Sankt Johann am Walde],15.5603140614,34.4215755855,485,5.0
41720,Oberndorf bei Schwanenstadt,19.5378151261,34.3717549325,331,9.0
40811,Hofkirchen an der Trattnach,20.5450733753,34.328358209,368,7.0
40913,Ried im Traunkreis,17.9775280899,34.3266475645,599,6.0
40800,Grieskirchen,17.3903455036,34.3032268835,14383,8.0
41317,Kollerschlag,14.1012909633,34.2995169082,355,10.0
40428,Ostermiething,12.676056338,34.2679127726,550,18.0
41710,Frankenmarkt,16.3366336634,34.2664092664,710,14.0
41103,Baumgartenberg,19.587628866,34.2429577465,389,7.0
40443,Tarsdorf,18.6046511628,34.2083675144,417,15.0
40824,St. Agatha [Sankt Agatha],12.7616475354,34.1738553417,515,1.0
40720,Vorchdorf,16.129753915,34.0732758621,1581,10.0
41218,Neuhofen im Innkreis,17.5938803894,34.0608465608,515,7.0
41804,Buchkirchen,14.8446954417,33.956043956,927,6.0
40803,Bruck-Waasen,14.5552560647,33.8422391858,532,3.0
40420,Maria Schmolln,12.2186495177,33.8028169014,312,6.0
40808,Grieskirchen,19.4168096055,33.7780898876,962,18.0
40438,St. Peter am Hart [Sankt Peter am Hart],14.8448043185,33.7698139214,490,16.0
41808,Gunskirchen,17.5096206707,33.6458612376,1256,11.0
41819,Sipbachzell,19.9176954733,33.6398467433,439,5.0
40921,Vorderstoder,14.711033275,33.6314847943,188,7.0
40512,Stroheim,15.5818540434,33.608815427,366,1.0
41818,Schleißheim,22.1204188482,33.6009174312,293,7.0
41709,Frankenburg am Hausruck,17.8838951311,33.5735735736,1118,6.0
41810,Krenglbach,16.7818361303,33.5576923077,698,6.0
41721,Oberwang,16.4448669202,33.4870848708,363,3.0
40409,Geretsberg,19.4127243067,33.4869431644,218,14.0
41824,Weißkirchen an der Traun,16.6416791604,33.4706959707,731,10.0
40425,Moosdorf,15.7225433526,33.4698055271,327,10.0
41708,Fornach,15.3481012658,33.4365325077,216,4.0
41731,Regau,17.5194213769,33.4241148799,1350,12.0
41425,Suben,15.082382763,33.4174022699,265,21.0
41304,Altenfelden,19.0379403794,33.3793103448,484,3.0
40832,Wallern an der Trattnach,18.1211498973,33.3497536946,677,8.0
40715,Roitham,17.1935235158,33.3333333333,470,6.0
41725,Pitzenberg,19.8879551821,33.3333333333,124,3.0
40511,Scharten,17.4247725682,33.3113020489,504,8.0
40713,Ohlsdorf,13.5387488329,33.1665685697,1127,8.0
40411,Haigermoos,16.9191919192,33.1506849315,121,6.0
40621,Unterweißenbach,13.5390428212,33.115610712,507,1.0
41807,Fischlham,15.2360515021,33.0198537095,316,4.0
41811,Lambach,18.7111362352,32.9682365827,602,20.0
41007,Hörsching,16.0993303571,32.9599551946,1177,15.0
41233,Utzenaich,19.3969849246,32.9568788501,321,7.0
40509,Pupping,18.7214611872,32.9526916803,404,6.0
40903,Hinterstoder,18.1959564541,32.9093799682,207,12.0
41728,Pühret,17.6470588235,32.8703703704,142,2.0
41809,Holzhausen,15.7587548638,32.8519855596,182,9.0
41704,Atzbach,18.6163522013,32.7827191868,258,5.0
41821,Steinerkirchen an der Traun,15.7684630739,32.7554179567,529,6.0
40902,Grünburg,14.1628959276,32.650273224,717,11.0
41306,Atzesberg,12.7725856698,32.6219512195,107,5.0
41748,Weißenkirchen im Attergau,16.8852459016,32.6194398682,198,4.0
41802,Bachmanning,18.9873417722,32.6139088729,136,11.0
41722,Ottnang am Hausruck,15.4330708661,32.5396825397,820,7.0
41208,Gurten,18.5286103542,32.5376884422,259,7.0
40613,Pierbach,13.5057471264,32.457496136,210,2.0
41718,Nußdorf am Attersee,17.3852573018,32.4287652646,239,12.0
40506,Hartkirchen,16.8840082361,32.3987538941,936,5.0
41009,Kematen an der Krems,14.4343302991,32.3671497585,536,10.0
41738,Schwanenstadt,18.1934931507,32.3607427056,732,22.0
41210,Kirchdorf am Inn,15.8018867925,32.3600973236,133,9.0
41225,Ried im Innkreis,18.9757058437,32.3242867084,1858,21.0
41231,Taiskirchen im Innkreis,16.9871794872,32.2580645161,500,3.0
41716,Neukirchen an der Vöckla,17.4237710019,32.2352941176,548,5.0
40504,Fraham,15.5994550409,32.2308690013,497,8.0
40810,Heiligenberg,14.2857142857,32.2245322245,155,2.0
40922,Wartberg an der Krems,13.9773340529,32.2125813449,594,9.0
41747,Vöcklamarkt,15.4949282966,32.1572580645,957,11.0
40819,Peuerbach,14.1329258976,32.1557317952,446,8.0
40904,Inzersdorf im Kremstal,14.2389525368,31.9498825372,408,6.0
40426,Munderfing,11.712772219,31.8568994889,561,12.0
41322,Niederkappel,18.4722222222,31.8373071529,227,2.0
41113,Münzbach,15.2406417112,31.7504655493,341,8.0
40500,Eferding,15.7386146192,31.7367510174,6785,8.0
40919,Steinbach am Ziehberg,16.0839160839,31.6865417376,186,4.0
41701,Ampflwang im Hausruckwald,18.7688334051,31.6822429907,678,11.0
40907,Kremsmünster,12.9334067144,31.6690042076,1129,17.0
41744,Ungenach,17.3137460651,31.5470171891,312,4.0
40711,Laakirchen,15.7972623011,31.5058611362,1747,16.0
41331,St. Johann am Wimberg [Sankt Johann am Wimberg],14.5945945946,31.4868804665,216,3.0
41737,Schörfling am Attersee,16.6336633663,31.4474304573,667,10.0
41342,Ulrichsberg,13.8711264142,31.4227226203,614,7.0
41311,Hörbich,15.0537634409,31.4189189189,93,1.0
41511,Pfarrkirchen bei Bad Hall,13.4615384615,31.3807531381,450,6.0
40802,Bad Schallerbach,17.3647058824,31.3624678663,732,14.0
40418,Lengau,13.3097762073,31.3199105145,840,11.0
41813,Neukirchen bei Lambach,18.3306055646,31.2605042017,186,5.0
41401,Altschwendt,15.1709401709,31.223628692,148,3.0
41707,Desselbrunn,15.061295972,31.2086092715,377,5.0
41428,Waldkirchen am Wesen,16.8454935622,31.184056272,266,5.0
41343,Aigen-Schlägl [Aigen-Schlägl ],11.655011655,31.0688836105,654,6.0
40900,Kirchdorf an der Krems,14.0922883151,31.010095249,10874,10.0
41236,Wippenham,16.3120567376,30.9523809524,130,5.0
40707,Grünau im Almtal,16.7378917379,30.8943089431,418,9.0
